graph,m,lamg_s,setups
SNAP__as-735,25144,56.396,92
SNAP__CollegeMsg,27670,25.766,105
SNAP__Oregon-1,46818,79.419,87
SNAP__email-Eu-core,32128,18.672,98
SNAP__ca-HepTh,49612,52.656,103
SNAP__p2p-Gnutella06,63050,54.170,102
SNAP__Oregon-2,65460,55.236,94
SNAP__soc-sign-bitcoin-otc,42978,97.305,106
SNAP__p2p-Gnutella04,79988,52.559,92
SNAP__p2p-Gnutella25,109386,148.135,311
SNAP__p2p-Gnutella24,130718,355.207,108
SNAP__p2p-Gnutella30,176606,157.712,101
SNAP__ca-CondMat,182572,175.141,103
SNAP__wiki-Vote,201472,146.043,99
SNAP__as-caida,106762,79.513,90
SNAP__ca-HepPh,235238,181.081,103
SNAP__p2p-Gnutella31,295756,523.061,98
SNAP__email-Enron,361622,352.862,95
SNAP__wiki-RfA,361960,243.751,107
SNAP__ca-AstroPh,393944,388.681,105
