graph,n,m,lamg_s,setups,resid
ML_Graph__Vehicle_10NN,846,10894,3.186,91,5.454e-10
Newman__power,4941,13188,242.332,458,6.793e-09
ML_Graph__mice_10NN,1077,13484,5.540,84,5.803e-12
DIMACS10__uk,4824,13674,183.662,481,6.747e-08
ML_Graph__collins_15NN,1000,16492,7.156,99,9.143e-10
ML_Graph__cnae9_10NN,1080,18278,10.169,99,1.247e-10
ML_Graph__Binaryalphadigs_10NN,1404,19392,7.040,93,8.659e-10
ML_Graph__plantstexture_10NN,1599,21204,10.110,89,9.967e-12
ML_Graph__Plants_10NN,1600,21930,12.824,89,6.071e-11
ML_Graph__semeion_10NN,1593,22226,9.038,91,3.573e-10
ML_Graph__dataset18mfeatmorphological_10NN,2000,22832,226.560,197,1.645e-08
ML_Graph__plantsmargin_12NN,1600,25482,19.260,96,7.807e-10
ML_Graph__dataset22mfeatzernike_10NN,2000,27414,9.509,92,4.752e-10
ML_Graph__dataset12mfeatfactors_10NN,2000,27442,9.726,90,8.132e-12
ML_Graph__dataset16mfeatkarhunen_10NN,2000,27668,9.318,100,1.629e-10
SNAP__as-735,6474,25144,55.404,92,8.651e-10
ML_Graph__dataset20mfeatpixel_10NN,2000,27932,12.636,96,1.001e-10
SNAP__ca-GrQc,4158,26844,25.053,93,4.690e-10
DIMACS10__data,2851,30186,55.657,94,3.938e-10
Newman__hep-th,5835,27630,32.618,87,9.628e-10
ML_Graph__YaleB_10NN,2414,34808,11.944,116,3.289e-09
Newman__polblogs,1222,33428,19.072,94,6.622e-10
SNAP__CollegeMsg,1893,27670,25.257,105,1.588e-10
SNAP__p2p-Gnutella08,6299,41552,30.077,89,7.196e-10
SNAP__Oregon-1,11174,46818,79.113,87,7.034e-10
SNAP__soc-sign-bitcoin-alpha,3775,28240,43.669,89,5.719e-10
SNAP__email-Eu-core-temporal,986,32128,16.574,82,2.552e-11
SNAP__email-Eu-core,986,32128,17.990,98,8.541e-11
SNAP__ca-HepTh,8638,49612,52.070,103,9.403e-10
SNAP__p2p-Gnutella09,8104,52016,36.338,93,8.415e-11
ML_Graph__yeast_30NN,1484,62350,24.095,95,7.501e-10
SNAP__p2p-Gnutella06,8717,63050,53.924,102,7.010e-11
SNAP__p2p-Gnutella05,8842,63674,91.898,99,7.432e-10
SNAP__Oregon-2,11461,65460,54.576,94,7.975e-10
SNAP__soc-sign-bitcoin-otc,5875,42978,95.606,106,4.495e-10
Gleich__wb-cs-stanford,8929,52640,1293.901,209,4.319e-07
ML_Graph__optdigits_10NN,5620,79650,173.070,104,9.415e-10
SNAP__p2p-Gnutella04,10876,79988,51.669,92,2.167e-10
ML_Graph__usps_norm_5NN,11000,81112,41.538,95,7.528e-10
Newman__cond-mat,13861,89238,85.637,110,3.252e-10
Newman__as-22july06,22963,96872,105.243,99,1.279e-10
SNAP__p2p-Gnutella25,22663,109386,145.492,311,1.083e-09
ML_Graph__indianpines_10NN,9144,124656,50.134,103,4.097e-10
SNAP__p2p-Gnutella24,26498,130718,353.284,108,6.489e-10
ML_Graph__JapaneseVowelsSmall_10NN,9961,131144,58.750,110,5.063e-10
ML_Graph__mnist_test_norm_10NN,10000,145600,61.011,110,9.902e-10
ML_Graph__har_10NN,10299,151736,209.207,98,3.559e-10
ML_Graph__kmnist_norm_10NN,10000,156932,66.997,112,2.642e-13
ML_Graph__Fashion_MNIST_norm_10NN,10000,158304,73.188,106,3.873e-10
SNAP__p2p-Gnutella30,36646,176606,156.934,101,9.511e-10
SNAP__ca-CondMat,21363,182572,173.862,103,4.197e-10
SNAP__wiki-Vote,7066,201472,144.671,99,3.278e-11
SNAP__as-caida,26475,106762,78.884,90,6.776e-10
SNAP__ca-HepPh,11204,235238,179.802,103,7.868e-10
Newman__cond-mat-2003,27519,232362,2295.045,167,5.768e-09
ML_Graph__worms20_10NN,20055,240826,115.905,100,9.657e-10
Newman__astro-ph,14845,239304,233.253,108,1.121e-10
SNAP__p2p-Gnutella31,62561,295756,517.814,98,4.317e-11
Newman__cond-mat-2005,36458,343472,456.762,115,6.850e-10
SNAP__email-Enron,33696,361622,350.293,95,9.023e-10
SNAP__wiki-RfA,11377,361960,242.122,107,7.628e-10
SNAP__ca-AstroPh,17903,393944,385.958,105,5.359e-10
SNAP__loc-Brightkite,56739,425890,471.771,99,2.059e-10
SNAP__sx-mathoverflow,24668,375878,780.850,101,2.712e-10
